Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres,maioria
250370405000047,43,50,40,18,13,7,11,1,0,0,0,0,0,42,19,8,1,1,0,13,8,7,2,1,1,7,6,2,2,0,0,0,7,2,0,0,0,0,254,58,HOMEM
250370405000048,13,15,25,9,5,5,5,0,0,0,0,0,0,13,5,4,0,0,0,6,8,8,2,0,3,2,4,4,2,0,0,0,2,1,0,0,0,0,99,42,HOMEM
250370405000049,14,12,13,6,5,2,14,1,0,0,0,0,0,13,5,1,1,1,0,16,13,13,3,5,1,3,13,4,2,1,1,0,3,1,0,0,0,0,88,79,HOMEM
250370405000050,8,7,2,0,2,4,3,0,0,0,0,0,0,8,2,1,0,0,0,4,2,1,2,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,37,15,HOMEM
250370405000051,34,39,47,35,18,17,12,1,1,0,0,0,0,33,12,10,2,0,0,17,26,9,7,1,0,9,14,9,1,0,0,0,3,4,1,0,0,0,261,101,HOMEM
250370405000052,23,48,37,31,14,13,10,0,0,0,0,0,0,23,21,3,4,0,0,14,4,5,3,2,3,9,7,1,0,0,0,0,7,0,1,0,0,0,227,56,HOMEM
250370405000053,30,45,64,29,10,8,16,4,0,0,0,0,0,26,23,9,5,1,0,20,21,17,9,3,1,12,12,3,2,2,1,0,8,6,2,0,0,0,270,119,HOMEM
250370405000054,30,38,65,25,8,2,19,6,2,1,0,0,0,24,17,13,1,2,0,25,22,10,6,1,1,20,14,4,2,0,0,0,11,8,0,2,0,0,253,126,HOMEM
250370405000055,23,31,32,20,5,1,14,3,0,0,0,0,0,20,14,10,1,0,0,36,44,45,19,6,11,14,27,23,7,1,0,0,9,7,0,0,0,0,174,249,MULHER
250370405000056,31,46,36,23,8,11,15,2,0,0,0,0,0,29,20,11,3,1,0,15,19,18,7,3,7,9,10,8,4,2,0,0,5,3,0,0,0,0,236,110,HOMEM
250370405000057,20,31,59,32,8,3,8,0,0,1,0,0,0,20,19,8,3,0,0,9,11,6,3,1,3,5,3,3,0,1,0,0,6,1,0,0,0,0,212,52,HOMEM
250370405000058,35,47,46,25,9,6,6,2,0,0,0,0,0,33,25,10,2,0,1,19,21,13,14,4,4,13,12,4,1,1,2,0,7,3,0,1,0,0,247,119,HOMEM
250370405000059,10,23,18,7,3,4,12,0,0,0,0,0,0,10,8,3,2,0,0,30,41,43,25,12,14,10,27,21,11,3,2,1,3,1,1,0,0,0,100,245,MULHER
250370405000060,59,59,67,36,13,7,23,2,2,0,0,0,0,57,28,16,1,1,0,29,33,13,21,10,13,12,15,7,2,3,0,0,14,9,1,0,0,0,371,182,HOMEM
250370405000061,28,37,40,20,6,4,11,5,0,0,0,0,0,23,13,11,2,0,0,22,20,18,7,2,3,15,12,8,3,2,0,0,10,3,4,0,1,0,200,130,HOMEM
250370405000062,18,27,24,11,2,3,13,1,0,0,0,0,0,17,18,3,0,0,0,17,14,9,7,1,0,7,11,8,1,1,0,0,6,0,0,1,0,0,137,83,HOMEM
250370405000063,31,22,40,24,6,0,14,5,0,1,0,0,0,26,9,13,1,0,0,22,25,20,10,4,2,11,13,7,2,0,0,0,9,5,0,1,0,0,192,131,HOMEM
250370405000064,20,46,32,18,8,3,11,0,1,0,0,0,0,20,23,8,3,1,0,23,25,15,7,2,3,15,15,8,3,0,1,0,8,4,0,0,0,0,194,129,HOMEM
250370410000001,29,31,39,32,5,7,9,0,0,0,0,0,0,29,11,5,5,0,0,16,11,7,7,2,3,11,8,2,3,0,0,0,8,0,0,0,0,0,202,78,HOMEM
250370410000002,15,16,8,20,7,4,0,1,0,0,0,0,0,14,8,3,1,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,97,6,HOMEM
250370410000003,17,33,30,18,8,9,13,1,1,0,0,0,0,16,12,5,3,1,0,13,10,11,7,3,0,4,12,4,5,2,1,0,1,1,0,0,0,0,167,74,HOMEM
250370410000004,20,27,28,18,7,6,9,4,1,0,0,0,0,16,12,8,2,0,0,13,19,11,11,1,5,5,10,9,2,2,0,1,3,2,2,0,0,0,158,96,HOMEM
250370410000005,7,7,11,3,0,0,4,2,0,0,0,0,0,5,3,5,0,0,0,9,7,12,3,2,3,4,9,3,3,0,0,0,0,0,0,0,0,0,47,55,MULHER
250370410000006,8,22,18,13,3,3,2,2,1,0,0,0,0,6,9,4,2,0,0,2,3,4,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,93,20,HOMEM
250370410000007,32,26,32,19,7,6,16,0,1,0,0,0,0,32,13,6,2,0,0,19,18,9,7,4,4,11,16,8,5,1,0,0,3,1,1,0,0,0,192,107,HOMEM
250370410000008,16,15,9,14,6,8,4,0,1,0,0,0,0,16,8,0,1,1,0,3,5,3,1,0,0,4,2,1,2,0,0,0,1,1,0,0,0,0,99,23,HOMEM
